mfcc,labels
"[-24.671667    62.440266    -7.7540884   28.432592    10.997147
   5.551389    -0.0867442   13.74509      2.8998163    9.909151
   0.85377365   5.9520783   -1.2259914 ]",country
"[-353.09116    110.67462     32.743443    24.189941    18.754097
    5.9265885   -1.7344856    3.8793368   -2.9791188   -1.9010768
   -2.8730125   -0.9832503   -6.486425 ]",country
"[-20.78135    62.950428    2.3044403  30.773718    6.973462    6.5058117
   6.3236365   9.873086    3.435297    9.372202   -0.404158    7.5194154
  -0.9842739]",country
"[-164.78546    123.44315      4.22473     48.800877    -5.1533303
   22.848055    -7.809706    19.28812    -11.021053    21.256647
   -9.741073     5.161778    -6.143532 ]",country
"[-102.481804   135.68375    -46.884445    32.738888   -11.159096
   23.469543    -9.779007    16.897072   -11.684482    13.215306
   -7.1829667    4.7462153   -8.193246 ]",country
"[-94.152916 109.18758  -11.85467   41.572716 -19.4826    23.833261
 -19.930464  20.372795 -17.291353  16.565329 -10.201442   9.387508
 -10.049827]",country
"[-178.47949    130.10803     12.076066    47.04983      2.6116672
   24.099432    -4.625375    22.778528   -10.929766    13.5343075
   -6.806915     8.726394    -6.0959063]",country
"[12.145776   58.997505    0.93959516 26.743252    9.245794    3.5632026
  1.5272028   8.654258    1.0029398  11.647983   -2.1983073   1.1939831
  0.48530084]",country
"[-175.00964    115.713554     5.100794    58.16809     -3.3074555
   29.656008   -10.033722    19.65937    -16.311836    13.744991
   -8.834571     7.2225156   -8.883326 ]",country
"[-91.654945  115.8513    -30.201815   52.284874   -5.0187893  16.961174
 -15.656676   13.546172  -12.756255   15.970038  -11.965698   11.068041
  -9.953225 ]",country
"[-1.9507317e+02  1.1425745e+02  4.1475207e-02  3.8200619e+01
  1.1286058e+01 -6.0460644e+00  1.2285590e+00  1.4777400e-02
 -1.5413632e+01 -3.5779057e+00 -6.1284695e+00 -4.5047817e+00
 -1.2425658e-01]",country
"[-1.7344347e+02  1.0507096e+02  1.1555927e+00  2.4115499e+01
  2.2134285e+01  2.5480733e+00 -1.5893732e+00  1.6644396e-01
 -5.3277473e+00  3.8132274e+00 -4.5264587e+00 -4.5881548e+00
 -1.5657426e+00]",country
"[-102.86877     85.338524    -4.320379    30.584402     3.014872
   -1.9487437    4.437098     3.4139795   -4.258278    -1.7707374
   -3.9678407   -1.357331    -3.7603476]",country
"[-124.6224       72.49065      16.715553     18.250063     12.224811
    8.094714      7.986082     -0.5102592     2.3697214    -0.5687946
   -5.5688143     0.54331386   -5.0568647 ]",country
"[-210.10042     139.62177     -17.025503     57.99346      -9.658052
   -1.9567308   -17.993433     -8.213174    -11.769385     -7.876312
    0.62425035   -9.962924     -6.469421  ]",country
"[-217.81781    128.37341     -7.5112424   39.284595    -2.541402
   18.173687   -15.148812    16.760803   -15.247553     4.8962364
   -6.500653     2.9013946  -11.492002 ]",country
"[-170.8428     124.75503    -19.236622    39.212093    -3.7663841
   15.302875   -12.9792       8.529965   -11.831754    11.324966
  -13.776035     3.1141598  -10.082476 ]",country
"[-19.763226    76.64637     -4.8265233   32.238724     7.710495
  17.18376     -1.4951018    9.149327     2.7572663    9.145537
  -2.6543097    7.5196233    0.38755083]",country
"[-137.86005    121.520035   -13.279323    43.328953   -10.695389
   17.859846    -7.950051     9.101156   -19.791092     9.44209
  -19.604746     6.9056225  -12.5497055]",country
"[-118.0589      74.18071      8.265662    15.447167     6.1578817
    8.441981     4.111674     5.726584    -1.9592634    3.1633985
    5.048196    -1.1217973    2.4379733]",country
"[-101.28794      84.11575       7.7757306    30.372738     13.849443
   11.625496     -0.11909649   -4.9368935    -2.3647227    -1.968338
   -8.188102      2.820076      0.5401414 ]",country
"[-2.3793953e+02  9.7733299e+01  6.4867449e+00  4.5971268e+01
  2.1488121e+00  1.6218559e+01  8.8117208e+00  7.7636342e+00
 -5.8992034e-01  4.4837790e+00  1.4919905e-01  3.0199270e+00
 -1.6625806e+00]",country
"[-57.75979     95.76648    -10.109319    40.979637    13.979035
  -0.98985845  -0.18847127   7.4250774   -3.6333375    9.545139
  -2.9410644    2.4362514    1.9947803 ]",country
"[-2.2949329e+02  1.5729971e+02 -1.6750404e+01  3.1881748e+01
 -1.0805422e-01  1.6648754e+01  1.3576682e+00  1.2212551e+01
 -3.8637102e+00  6.8358240e+00 -4.2673759e+00  1.3341368e+00
 -5.9014387e+00]",country
"[-185.85484     155.27069     -25.015507     20.559324     -3.8406787
   -0.5795828    -4.573758     -5.901456    -16.531107     -0.44806433
  -16.299582     -4.2123995   -16.804678  ]",country
"[-148.98796    107.2436      11.189903    26.696136    11.397693
   -3.8045828   14.0203285   -5.876819   -11.0484915    2.7971048
   -8.450597     3.1810462   -0.7678391]",country
"[-23.104954   70.25588     3.8055308  28.323957   13.754286    5.728135
   3.9737794   7.4728084   2.6279068   8.490234   -2.3202078   2.0890799
  -3.3720124]",country
"[-1.9770268e+02  1.0649648e+02 -4.4335299e+00  3.7656395e+01
 -8.6536050e-01 -9.6210355e-01 -3.4531171e+00 -4.9805630e-02
 -9.3028021e+00 -5.1777239e+00 -4.2500987e+00 -3.5460408e+00
 -1.3531574e+00]",country
"[-185.06337    120.51211     29.720224    56.37222     -3.0282547
   22.213936   -10.350044    20.053122   -13.679163     9.170145
   -6.4301715    3.3002465   -8.73294  ]",country
"[-126.20302      77.6602        3.1578352    19.944597     10.8167715
    0.7296955     5.22846      -0.49303123   -0.995941      5.39514
   -3.7251055    -3.493331     -5.336726  ]",country
"[-96.24628   131.92441   -26.341778   35.975468  -22.810158   14.495446
 -11.845881   11.814582  -21.22422    11.547977  -12.930905    7.1881924
 -13.941332 ]",country
"[-120.305214     79.22588       5.2293863    34.548218     16.506737
   13.129608      6.3450894     9.962077     -2.0015073     6.8100667
   -6.352069      0.22815077   -6.8128085 ]",country
"[-7.9727893  62.724636   -1.4591705  28.109985    9.967061    9.363964
  5.415904    9.82543     3.0275455   8.420949    0.31071302  6.540354
  0.7373716 ]",country
"[-80.23084   108.203285  -23.831284   52.62174    -6.4135385  15.064379
 -17.638653    9.731315  -16.172585    8.9045315 -15.960604    8.001686
 -10.708485 ]",country
"[-110.04325     134.77678     -24.017365     19.40414      -4.4027624
   -4.810312     -7.802366     -0.39133024   -5.4069877    -2.9562922
    0.7801952    -4.774832     -0.17851053]",country
"[-1.7124200e+02  1.6048726e+02 -1.7805805e+01  3.0491003e+01
  7.5109696e+00 -8.2474623e+00 -5.6675162e+00  1.3154972e-01
 -8.8350506e+00 -2.6557033e+00  7.1199793e-01 -3.7818263e+00
 -6.5020747e+00]",country
"[-42.18055  106.264595 -24.218506  44.67555  -12.344404  20.534286
 -16.052774  18.492975 -18.786243  15.519278 -15.459702   8.954699
  -9.982072]",country
"[-1.2195900e+02  1.2324601e+02 -8.4967709e+00  5.1599014e+01
 -1.0669120e-01  2.0418154e+01 -1.1878725e+01  1.6262135e+01
 -1.1528810e+01  1.1832639e+01 -8.0906143e+00  9.1301250e+00
 -8.6507549e+00]",country
